Name;String
StartButton;Начать
SettingsButton;Настройки
CreditsButton;Авторы
ExitButton;Выход
MusicLabel;Музыка
EffectsLabel;Еффекты
LanguageLabel;Язык
ReturnLabel;Ок
MoneyDescriptionText;Это показатель денег.@Овациями сыт не будешь, поэтому группа всегда должна быть при деньгах.@Но и не слишком много, иначе какой вы к черту андеграунд после этого!
PopularityDescriptionText;Это показатель стресса@Стресс всегда преследует звёзд. Старайся не съехать с катушек.@Много стресса точно плохо скажется на твоем состоянии, но и чересчур расслабленным быть тоже вредно
PsycheDescriptionText;Это показатель популярности@Без зрителей вы никому не нужны, поэтому поддерживай уровень популярности. Если он будет слишком низкий никто не будет ходить на ваши концерты и покупать мерч, а если станете слишком популярными...@ты же слышал про Джона Леннона?